SITEID,COUNTYID,DATACREATIONDATE,PSI
242,10005,23-8 -16,54.0
243,66000,23-8 -16,67.0
244,66000,23-8 -16,56.0
245,66000,23-8 -16,66.0
246,66000,23-8 -16,70.0
247,66000,23-8 -16,66.0
248,10007,23-8 -16,61.0
204,10007,23-8 -16,64.0
249,10007,23-8 -16,51.0
250,10008,23-8 -16,56.0
251,10009,23-8 -16,58.0
252,10009,23-8 -16,44.0
253,10010,23-8 -16,52.0
254,10010,23-8 -16,52.0
205,10009,23-8 -16,37.0
255,10020,23-8 -16,52.0
256,67000,23-8 -16,47.0
257,67000,23-8 -16,42.0
258,67000,23-8 -16,50.0
259,67000,23-8 -16,42.0
260,64000,23-8 -16,52.0
206,64000,23-8 -16,40.0
261,64000,23-8 -16,58.0
207,64000,23-8 -16,56.0
285,65000,24-8 -16,32.0
286,63000,24-8 -16,36.0
287,63000,24-8 -16,34.0
288,63000,24-8 -16,26.0
289,63000,24-8 -16,28.0
290,63000,24-8 -16,31.0
201,63000,24-8 -16,45.0
291,68000,24-8 -16,35.0
292,68000,24-8 -16,42.0
202,68000,24-8 -16,39.0
293,68000,24-8 -16,39.0
294,68000,24-8 -16,37.0
295,10004,24-8 -16,35.0
296,10004,24-8 -16,36.0
221,10016,26-8 -16,33.0
223,10014,26-8 -16,28.0
367625,10009,26-8 -16,56.0
276,10017,26-8 -16,19.0
277,65000,26-8 -16,21.0
278,65000,26-8 -16,32.0
279,65000,26-8 -16,
260,64000,26-8 -16,48.0
206,64000,26-8 -16,56.0
261,64000,26-8 -16,52.0
207,64000,26-8 -16,54.0
263,64000,26-8 -16,51.0
264,64000,26-8 -16,60.0
265,64000,26-8 -16,51.0
266,64000,26-8 -16,55.0
209,64000,26-8 -16,47.0
267,64000,26-8 -16,43.0
268,10013,26-8 -16,54.0
269,10013,26-8 -16,48.0
270,10013,26-8 -16,38.0
271,10014,26-8 -16,30.0
272,10015,26-8 -16,33.0
210,63000,26-8 -16,55.0
